"DateScraped","VIN","isTempVin","TempBuildWeek","isPresold","holdStatus","dealerCategory","dealerCd","DealerName","DealerCity","DealerState","DealerZip","distributorCd","year","bodyStyleDesc","extColor","intColor","PriceInvoice","PriceTotalMSRP","PriceAdvertised","Options","CarLink","DealerLink"
"06/27/2022","4T1G31AK7NU595064","False",,"False","DealerHold","Freight","04347","Frontier Toyota","Valencia","CA","91355","TMNA","2022","SE HYBRID SEDAN","Predawn Gray Mica","Ash SofTex? [softex]",,"31396",,"Carpet Mat Package[installed_msrp], PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Frameless Homelink Mirror, Door Sill Protectors[installed_msrp], Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK7NU595064/detail","https://www.toyota.com/dealers/dealer/04347"
"06/27/2022","4T1G31AK2NU595067","False",,"True",,"Freight","04554","John Elway's Crown Toyota","Ontario","CA","91761","TMNA","2022","SE HYBRID SEDAN","Predawn Gray Mica","Ash SofTex? [softex]",,"31151","31151","Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Dual USB Power Port (Rear Only)[installed_msrp], Trunk LED Light Bulb[installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK2NU595067/detail","https://www.toyota.com/dealers/dealer/04554"
"06/27/2022","4T1G31AK6NU595072","False",,"True","DealerHold","Freight","04159","South Bay Toyota","Gardena","CA","90248","TMNA","2022","SE HYBRID SEDAN","Predawn Gray Mica","Ash SofTex? [softex]",,"31049",,"50 State Emissions, Frameless Homelink Mirror, Alloy Wheel Locks [installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK6NU595072/detail","https://www.toyota.com/dealers/dealer/04159"
"06/27/2022","4T1G31AK8NU595073","False",,"True",,"Freight","04554","John Elway's Crown Toyota","Ontario","CA","91761","TMNA","2022","SE HYBRID SEDAN","Predawn Gray Mica","Ash SofTex? [softex]",,"31151","31151","Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Dual USB Power Port (Rear Only)[installed_msrp], Trunk LED Light Bulb[installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK8NU595073/detail","https://www.toyota.com/dealers/dealer/04554"
"06/27/2022","4T1G31AK5NU595077","False",,"True","DealerHold","Allocated","42283","https://www.toyota.com/dealers/dealer/42283",,,,"GST","2022","SE HYBRID SEDAN","Predawn Gray Mica","Ash SofTex? [softex]",,"32204",,"50 State Emissions, Premium Carpet Mat Set, Charging and Connectivity Kit, Cargo Net, Front Accent Lamps, Frameless HomeLink<sup>?</sup> Mirror, Vehicle Protection Package, Rear Bumper Protector, Vehicle Fueling (4 Gal.), PDS -with Texas State Inspection","https://guest.dealer.toyota.com/v-spec/4T1G31AK5NU595077/detail","https://www.toyota.com/dealers/dealer/42283"
"06/27/2022","4T1G31AK0NU595083","False",,"False","DealerHold","Freight","04739","Toyota of Downtown LA","Los Angeles","CA","90007","TMNA","2022","SE HYBRID SEDAN","Midnight Black Metallic","Ash SofTex? [softex]",,"31197",,"PREFERRED OWNER'S PORTFOLIO, Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Trunk LED Light Bulb[installed_msrp], All-Weather Floor Liner Package[installed_msrp], Frameless Homelink Mirror","https://guest.dealer.toyota.com/v-spec/4T1G31AK0NU595083/detail","https://www.toyota.com/dealers/dealer/04739"
"06/27/2022","4T1G31AK1NU595089","False",,"False","DealerHold","Freight","04347","Frontier Toyota","Valencia","CA","91355","TMNA","2022","SE HYBRID SEDAN","Celestial Silver Metallic","Ash SofTex? [softex]",,"31396",,"Carpet Mat Package[installed_msrp], PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Frameless Homelink Mirror, Door Sill Protectors[installed_msrp], Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK1NU595089/detail","https://www.toyota.com/dealers/dealer/04347"
"06/27/2022","4T1G31AK1NU595092","False",,"False","DealerHold","Freight","04136","Longo Toyota","El Monte","CA","91731","TMNA","2022","SE HYBRID SEDAN","Midnight Black Metallic","Ash SofTex? [softex]",,"31046",,"Carpet Mat Package[installed_msrp], Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Hideaway Cargo Net[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK1NU595092/detail","https://www.toyota.com/dealers/dealer/04136"
"06/27/2022","4T1G31AK3NU595093","False",,"False","DealerHold","Freight","06040","Colonial Toyota","Milford","CT","6460","TMNA","2022","SE HYBRID SEDAN","Celestial Silver Metallic","Ash SofTex? [softex]",,"31003",,"50 State Emissions, Carpet Mat Package[installed_msrp], Mudguards [installed_msrp], Alloy Wheel Locks [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK3NU595093/detail","https://www.toyota.com/dealers/dealer/06040"
"06/27/2022","4T1G31AK5NU595094","False",,"False",,"Freight","04072","Hansel Toyota","Petaluma","CA","94952","TMNA","2022","SE HYBRID SEDAN","Celestial Silver Metallic","Black SofTex??[softex]",,"31399","33394","Carpet Mat Package[installed_msrp], Cold Weather Package, 50 State Emissions","https://guest.dealer.toyota.com/v-spec/4T1G31AK5NU595094/detail","https://www.toyota.com/dealers/dealer/04072"
