"DateScraped","VIN","isTempVin","TempBuildWeek","isPresold","holdStatus","dealerCategory","dealerCd","DealerName","DealerCity","DealerState","DealerZip","distributorCd","year","bodyStyleDesc","extColor","intColor","PriceInvoice","PriceTotalMSRP","PriceAdvertised","Options","CarLink","DealerLink"
"06/27/2022","4T1F31AKXNU25C345","True","2022-06-25","False",,"Allocated","12161","Toyota of Lincoln Park","Chicago","IL","60642","TMNA","2022","XLE HYBRID SEDAN","Celestial Silver Metallic","Black Perforated Leather",,"34905",,"Cold Weather Package, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Protection Package[installed_msrp], Alloy Wheel Locks [installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AKXNU25C345/detail","https://www.toyota.com/dealers/dealer/12161"
"06/27/2022","4T1F31AK3NU25C414","True","2022-06-25","False","DealerHold","Allocated","15056","Legends Toyota","Kansas City","KS","66109","TMNA","2022","XLE HYBRID SEDAN","Midnight Black Metallic","Ash Perforated Leather",,"39450","39450","Cold Weather Package, Driver Assist Package, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Adaptive Headlights, Mudguards [installed_msrp], Navigation Upgrade Package, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Trunk LED Light Bulb[installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK3NU25C414/detail","https://www.toyota.com/dealers/dealer/15056"
"06/27/2022","4T1F31AK9NU25C417","True","2022-06-25","False","DealerHold","Allocated","12163","O'Brien Toyota of Peoria","Peoria","IL","61614","TMNA","2022","XLE HYBRID SEDAN","Celestial Silver Metallic","Black Perforated Leather",,"34776",,"Cold Weather Package, PREFERRED OWNER'S PORTFOLIO, 50 State Emissions, Mudguards [installed_msrp], All-Weather Floor Liner Package[installed_msrp], Protection Package[installed_msrp], Alloy Wheel Locks [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK9NU25C417/detail","https://www.toyota.com/dealers/dealer/12163"
"06/27/2022","4T1F31AK2NU25C419","True","2022-06-25","True","DealerHold","Allocated","46110","1128 West Third Avenue","WA","Findlay Toyota Spokane","99201","TMNA","2022","XLE HYBRID SEDAN","Predawn Gray Mica","Ash Perforated Leather",,"39017",,"Driver Assist Package, PREFERRED OWNER'S PORTFOLIO, Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Adaptive Headlights, Navigation Upgrade Package, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK2NU25C419/detail","https://www.toyota.com/dealers/dealer/46110"
"06/27/2022","4T1F31AK8NU25C425","True","2022-06-25","True","DealerHold","Allocated","21107","Labadie Toyota","Bay City","MI","48706","TMNA","2022","XLE HYBRID SEDAN","Celestial Silver Metallic","Ash Perforated Leather",,"35715",,"Carpet Mat Package[installed_msrp], Cold Weather Package, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Door Sill Protectors[installed_msrp], Mudguards [installed_msrp], Power tilt/slide moonroof, Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK8NU25C425/detail","https://www.toyota.com/dealers/dealer/21107"
"06/27/2022","4T1F31AK0NU25C435","True","2022-06-25","False","DealerHold","Allocated","45050","Koons Tysons Toyota","Vienna","VA","22182","TMNA","2022","XLE HYBRID SEDAN","Midnight Black Metallic","Black Perforated Leather",,"35646",,"Quick Charge Cable Package[installed_msrp], Carpet Mat Package[installed_msrp], Cold Weather Package, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, First Aid Kit w/ PPE[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK0NU25C435/detail","https://www.toyota.com/dealers/dealer/45050"
"06/27/2022","4T1F31AK7NU25C447","True","2022-06-25","False",,"Allocated","38026","Balise Toyota of Warwick","Warwick","RI","2888","TMNA","2022","XLE HYBRID SEDAN","Celestial Silver Metallic","Ash Perforated Leather",,"37230",,"Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Navigation Upgrade Package, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK7NU25C447/detail","https://www.toyota.com/dealers/dealer/38026"
"06/27/2022","4T1F31AKXNU25C460","True","2022-06-25","False","DealerHold","Allocated","24036","Tom Pappas Toyota","St Peters","MO","63376","TMNA","2022","XLE HYBRID SEDAN","Celestial Silver Metallic","Ash Perforated Leather",,"39321",,"Cold Weather Package, Driver Assist Package, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Adaptive Headlights, Navigation Upgrade Package, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Trunk LED Light Bulb[installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AKXNU25C460/detail","https://www.toyota.com/dealers/dealer/24036"
"06/27/2022","4T1F31AK1NU25C475","True","2022-06-25","False",,"Allocated","29105","DCH Freehold Toyota","Freehold","NJ","7728","TMNA","2022","XLE HYBRID SEDAN","Wind Chill Pearl","Black Perforated Leather",,"37274",,"Carpet Mat Package[installed_msrp], 50 State Emissions, Navigation Upgrade Package, Special Color, Power tilt/slide moonroof, Alloy Wheel Locks [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK1NU25C475/detail","https://www.toyota.com/dealers/dealer/29105"
"06/27/2022","4T1F31AK2NU25C484","True","2022-06-25","False","DealerHold","Allocated","13071","Toyota of Muncie","Muncie","IN","47304","TMNA","2022","XLE HYBRID SEDAN","Predawn Gray Mica","Black Perforated Leather",,"34905","34905","Cold Weather Package, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Protection Package[installed_msrp], Alloy Wheel Locks [installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK2NU25C484/detail","https://www.toyota.com/dealers/dealer/13071"
"06/27/2022","4T1F31AK4NU25C485","True","2022-06-25","False","DealerHold","Allocated","48065","Toyota of Brookfield","Brookfield","WI","53045","TMNA","2022","XLE HYBRID SEDAN","Midnight Black Metallic","Black Perforated Leather",,"34776",,"Cold Weather Package, 50 State Emissions, Protection Package[installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp], Alloy Wheel Locks [installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK4NU25C485/detail","https://www.toyota.com/dealers/dealer/48065"
"06/27/2022","4T1F31AKXNU25C488","True","2022-06-25","False",,"Allocated","19044","Antwerpen's Toyota","Clarksville","MD","21029","TMNA","2022","XLE HYBRID SEDAN","Blueprint","Black Perforated Leather",,"35492",,"Quick Charge Cable Package[installed_msrp], Carpet Mat Package[installed_msrp], Cold Weather Package, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Power tilt/slide moonroof","https://guest.dealer.toyota.com/v-spec/4T1F31AKXNU25C488/detail","https://www.toyota.com/dealers/dealer/19044"
"06/27/2022","4T1F31AK0NU25C502","True","2022-06-25","False","DealerHold","Allocated","31198","West Herr Toyota of Rochester","Rochester","NY","14626","TMNA","2022","XLE HYBRID SEDAN","Predawn Gray Mica","Black Perforated Leather",,"34710",,"PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Alloy Wheel Locks [installed_msrp], Trunk LED Light Bulb[installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK0NU25C502/detail","https://www.toyota.com/dealers/dealer/31198"
"06/27/2022","4T1F31AKXNU25C510","True","2022-06-25","True","DealerHold","Allocated","16051","Oxmoor Toyota","Louisville","KY","40222","TMNA","2022","XLE HYBRID SEDAN","Predawn Gray Mica","Ash Perforated Leather",,"34830",,"Carpet Mat Package[installed_msrp], Cold Weather Package, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Door Sill Protectors[installed_msrp], Mudguards [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AKXNU25C510/detail","https://www.toyota.com/dealers/dealer/16051"
"06/27/2022","4T1F31AK3NU25C512","True","2022-06-25","False",,"Allocated","04237","700 Automall Drive","CA","Roseville Toyota","95661","TMNA","2022","XLE HYBRID SEDAN","Midnight Black Metallic","Black Perforated Leather",,"38948",,"Driver Assist Package, 50 State Emissions, Adaptive Headlights, Mudguards [installed_msrp], Navigation Upgrade Package, Power tilt/slide moonroof, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK3NU25C512/detail","https://www.toyota.com/dealers/dealer/04237"
"06/27/2022","4T1F31AK1NU25C556","True","2022-06-25","True","DealerHold","Allocated","13027","Bob Rohrman Toyota","Lafayette","IN","47905","TMNA","2022","XLE HYBRID SEDAN","Ruby Flare Pearl","Black Perforated Leather",,"37950",,"Cold Weather Package, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Navigation Upgrade Package, Special Color, Protection Package[installed_msrp], Power tilt/slide moonroof, Alloy Wheel Locks [installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK1NU25C556/detail","https://www.toyota.com/dealers/dealer/13027"
