"DateScraped","VIN","isTempVin","TempBuildWeek","isPresold","holdStatus","dealerCategory","dealerCd","DealerName","DealerCity","DealerState","DealerZip","distributorCd","year","bodyStyleDesc","extColor","intColor","PriceInvoice","PriceTotalMSRP","PriceAdvertised","Options","CarLink","DealerLink"
"06/27/2022","4T1F31AK6NU594872","False",,"False","DealerHold","Allocated","42073","Sterling McCall Toyota","Houston","TX","77074","GST","2022","XLE HYBRID SEDAN","Celestial Silver Metallic","Ash Perforated Leather",,"35399",,"Cold Weather Package, 50 State Emissions, Premium Carpet Mat Set, Connectivity Kit, Cargo Net, Door Sill Protectors, Vehicle Protection Package, Rear Bumper Protector, Rear Lip Spoiler, Vehicle Fueling (4 Gal.), PDS -with Texas State Inspection, Nitro Wheel Locks Tint RESISTALL","https://guest.dealer.toyota.com/v-spec/4T1F31AK6NU594872/detail","https://www.toyota.com/dealers/dealer/42073"
"06/27/2022","4T1F31AK1NU594875","False",,"False","DealerHold","Freight","05063","AutoNation Toyota Arapahoe","Centennial","CO","80112","TMNA","2022","XLE HYBRID SEDAN","Predawn Gray Mica","Ash Perforated Leather",,"34447",,"Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Door Sill Protectors[installed_msrp], All-Weather Floor Liner Package[installed_msrp], First Aid Kit w/ PPE[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK1NU594875/detail","https://www.toyota.com/dealers/dealer/05063"
"06/27/2022","4T1F31AK3NU594893","False",,"False","DealerHold","Freight","28024","Irwin Toyota","Laconia","NH","3246","TMNA","2022","XLE HYBRID SEDAN","Predawn Gray Mica","Ash Perforated Leather",,"34680",,"Quick Charge Cable Package[installed_msrp], Carpet Mat Package[installed_msrp], Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK3NU594893/detail","https://www.toyota.com/dealers/dealer/28024"
"06/27/2022","4T1F31AK0NU594902","False",,"True","DealerHold","Ground","13069","Toyota of Terre Haute","Terre Haute","IN","47802","TMNA","2022","XLE HYBRID SEDAN","Celestial Silver Metallic","Ash Perforated Leather",,"37197","34706.01","Cold Weather Package, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Navigation Upgrade Package, Power tilt/slide moonroof, Alloy Wheel Locks [installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK0NU594902/detail","https://www.toyota.com/dealers/dealer/13069"
"06/27/2022","4T1F31AK4NU594918","False",,"True",,"Freight","04487","Ammaar's Toyota Vacaville","Vacaville","CA","95687","TMNA","2022","XLE HYBRID SEDAN","Wind Chill Pearl","Black Perforated Leather",,"35076","38076","Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Special Color, All-Weather Floor Liner Package[installed_msrp], Illuminated Door Sills [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK4NU594918/detail","https://www.toyota.com/dealers/dealer/04487"
"06/27/2022","4T1F31AK7NU594928","False",,"True","DealerHold","Freight","02048","6510 Showplace Avenue","AZ","Anderson Toyota","86404","TMNA","2022","XLE HYBRID SEDAN","Wind Chill Pearl","Black Perforated Leather",,"34648",,"Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Special Color, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK7NU594928/detail","https://www.toyota.com/dealers/dealer/02048"
"06/27/2022","4T1F31AK9NU594932","False",,"False","DealerHold","Freight","46003","3405 N. Auburn Way","WA","Doxon Toyota","98002","TMNA","2022","XLE HYBRID SEDAN","Celestial Silver Metallic","Black Perforated Leather",,"38948","38948","Driver Assist Package, 50 State Emissions, Adaptive Headlights, Navigation Upgrade Package, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, All-Weather Floor Liner Package[installed_msrp], PREFERRED OWNER'S PORTFOLIO","https://guest.dealer.toyota.com/v-spec/4T1F31AK9NU594932/detail","https://www.toyota.com/dealers/dealer/46003"
"06/27/2022","4T1F31AK6NU594936","False",,"False","DealerHold","Freight","29102","Holman Toyota","Mount Laurel","NJ","8054","TMNA","2022","XLE HYBRID SEDAN","Wind Chill Pearl","Ash Perforated Leather",,"37601",,"Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Navigation Upgrade Package, Special Color, Power tilt/slide moonroof, Alloy Wheel Locks [installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK6NU594936/detail","https://www.toyota.com/dealers/dealer/29102"
"06/27/2022","4T1F31AK8NU594954","False",,"False","DealerHold","Ground","29090","Hudson Toyota","Jersey City","NJ","7304","TMNA","2022","XLE HYBRID SEDAN","Wind Chill Pearl","Black Perforated Leather",,"37601","39196","Carpet Mat Package[installed_msrp], Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Navigation Upgrade Package, Special Color, Power tilt/slide moonroof, Alloy Wheel Locks [installed_msrp], Diamond Ceramic Coating","https://guest.dealer.toyota.com/v-spec/4T1F31AK8NU594954/detail","https://www.toyota.com/dealers/dealer/29090"
"06/27/2022","4T1F31AKXNU594955","False",,"False","Available","Freight","15047","Hendrick Toyota Merriam","Merriam","KS","66203","TMNA","2022","XLE HYBRID SEDAN","Midnight Black Metallic","Black Perforated Leather",,"38969",,"Carpet Mat Package[installed_msrp], Cold Weather Package, Driver Assist Package, 50 State Emissions, Adaptive Headlights, Navigation Upgrade Package, Power tilt/slide moonroof","https://guest.dealer.toyota.com/v-spec/4T1F31AKXNU594955/detail","https://www.toyota.com/dealers/dealer/15047"
